subset_size,accuracy,total,aleatoric,epistemic
12500,0.8389000296592712,0.44778716564178467,0.14305002987384796,0.3047371506690979
25000,0.8841000199317932,0.2899091839790344,0.08812997490167618,0.20177921652793884
37500,0.9056000113487244,0.23149077594280243,0.07388628274202347,0.15760448575019836
50000,0.9197999835014343,0.17805342376232147,0.05163274705410004,0.12642067670822144
