run_id,train_subset,arch,dropout_rate,seed,val/acc,val/au,val/eu,val/loss,val/tu
0,12500,vit_small,0.5,1234,0.5564000010490417,0.1233330890536308,0.8331674933433533,4.014042854309082,0.9565005898475648
1,25000,vit_small,0.5,1234,0.6258000135421753,0.1206270456314086,0.7858242392539978,3.366349697113037,0.9064512848854064
2,37500,vit_small,0.5,1234,0.6607000231742859,0.1169322505593299,0.7389951348304749,3.0922176837921143,0.8559274077415466
3,50000,vit_small,0.5,1234,0.6949999928474426,0.1132365763187408,0.7013555765151978,2.814486026763916,0.8145921230316162
