subset_size,accuracy,total,aleatoric,epistemic
12500,0.8511999845504761,0.41564813256263733,0.13339625298976898,0.28225189447402954
25000,0.8903999924659729,0.27136874198913574,0.08573508262634277,0.18563365936279297
37500,0.9085999727249146,0.21190981566905975,0.07110583037137985,0.1408039927482605
50000,0.9225000143051147,0.1582230031490326,0.049530450254678726,0.10869255661964417
